Academic_Calendar,Academic_Counseling,Academic_Staff,Acronym,Address,Admission_Office,Admission_Rate,Campus_Setting,Career_Services,Control_Type,Distance_Learning,Entity_Type,Fax,Financial_Aids,Founded,Housing,Institutional_Hospital,International_students,Library,Local_students,Motto,Religious_Affiliation,Selection_Type,Sport_Facilities,Student_Enrollment,Study_Abroad,Tel,country_name,country_rank,facebook,flag_img,instagram,linkedin,name,name_t,name_t_t,other_locations,screenshort,subject,twitter,uni_logo,university_name,url,wiki,world_rank,youtube
Semesters,Yes,500-599,ITBA,Avenida Eduardo Madero 399 Buenos Aires  C1106 City of Buenos Aires Argentina,Avenida Eduardo Madero 399 Buenos Aires C1106ACD (11) 2150 4822,40-50%,Urban,Yes,Private,Yes,Non-Profit,+54 (11) 2150 4836,Yes,1959,Not reported,Not reported,,Yes,,Ad Lucem Serenitate Tendo To the Light Peacefully She Goes,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"2,000-2,999",Yes,+54 (11) 2150 4822,"Argentina

",46,https://www.facebook.com/itbauniversidad/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/itbauniversidad/,https://www.linkedin.com/school/instituto-tecnol%C3%B3gico-de-buenos-aires/,Buenos Aires Institute of Technology,Buenos Aires Institute of Technology,Buenos Aires Institute of Technology,,https://www.4icu.org//i/screenshots/31.jpg,School Engineering and Technology | School of Engineering and Management | Graduate School,https://twitter.com/ITBA,https://www.4icu.org//i/logos-seals/31.png,Instituto Tecnológico de Buenos Aires,https://www.4icu.org/reviews/31.htm,https://en.wikipedia.org/wiki/Instituto_Tecnol%C3%B3gico_de_Buenos_Aires,3744,https://www.youtube.com/channel/UCk7TR5Oxi3h63uzCpG3rC6w
Semesters,Not reported,Not reported,IUA,Avenida Fuerza Aérea 6500 Alta Gracia  S2000BUN Cordoba Argentina,,Not reported,Not reported,Not reported,Public,Not reported,Non-Profit,+54 (351) 443 5015,Not reported,1947,Not reported,Not reported,,Yes,,,None,Not reported,Not reported,Not reported,Not reported,+54 (351) 568 8802,"Argentina

",97,https://www.facebook.com/comunicacion.institucional.9/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/iua_universidad/,https://www.linkedin.com/school/instituto-universitario-aeron-utico/,Air University Institute,Air University Institute,Air University Institute,"Bell Ville, Buenos Aires, Córdoba, Montevideo, Morteros, Rosario, Villa Dolores",https://www.4icu.org//i/screenshots/32.jpg,Department of Management Sciences | Department of Engineering,https://twitter.com/IUA_Oficial,https://www.4icu.org//i/logos-seals/32.png,Instituto Universitario Aeronáutico,https://www.4icu.org/reviews/32.htm,https://es.wikipedia.org/wiki/Instituto_Universitario_Aeron%C3%A1utico,7928,https://www.youtube.com/channel/UCP0qzIlki_st2CPopiY_GzQ
Semesters,,Not reported,IUPFA,"Rosario 532 Buenos Aires (population range: 1,000,000-5,000,000) C1424 City of Buenos Aires Argentina",+54,Not reported,Not reported,,Public,Not reported,Non-Profit,,Not reported,1974,Not reported,,,Yes,,,None,,Not reported,Not reported,Not reported,,"Argentina

",85,https://www.facebook.com/iupfa/,https://www.4icu.org//i/flags/Argentina.png,/flickr/,/linkedin/,University Institute of Argentine Federal Police,University Institute of Argentine Federal Police,University Institute of Argentine Federal Police,,https://www.4icu.org//i/screenshots/37.jpg,Department of Biomedical Sciences School of Nursing Department of Criminal Science Department of Security Sciences Department of Law and Social Sciences,https://twitter.com/iupfanoticias,https://www.4icu.org//i/logos-seals/37.png,Instituto Universitario de la Policía Federal Argentina,https://www.4icu.org/reviews/37.htm,https://es.wikipedia.org/wiki/Instituto_Universitario_de_la_Polic%C3%ADa_Federal_Argentina,8329,https://www.youtube.com/channel/UCLCix8ceBlWAlQZ6gDnA2Rw
Semesters,Not reported,Not reported,UADE,Lima 717 Buenos Aires  C1073AAO City of Buenos Aires Argentina,Lima 717 Buenos Aires C1073 (11) 4000 7600,Not reported,Urban,Not reported,Private,Not reported,Not reported,+54 (11) 4372 5468,Yes,1968 Origins date back to 1957,Yes,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Yes,"20,000-24,999",Yes,+54 (11) 4000 7600,"Argentina

",12,https://www.facebook.com/UADEOficial/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/uadeoficial/,https://www.linkedin.com/school/uade/,"Argentine Business University, Buenos Aires","Argentine Business University, Buenos Aires","Argentine Business University, Buenos Aires",,https://www.4icu.org//i/screenshots/43.jpg,Department of Economics | Department of Business and Management | Department of Law and Social Sciences | Department of Communication and Design | Department of Engineering and Sciences,https://twitter.com/UADEoficial,https://www.4icu.org//i/logos-seals/43.png,Universidad Argentina de la Empresa,https://www.4icu.org/reviews/43.htm,https://en.wikipedia.org/wiki/Universidad_Argentina_de_la_Empresa,1554,https://www.youtube.com/channel/UCJbgNz5VfETvD_wd4KiF2yQ
Not reported,Not reported,Not reported,UAA,Diagonal Rivadavia 515 Mar de Ajó  B7109FDF Buenos Aires Argentina,,Not reported,Not reported,Not reported,Private,Not reported,Not reported,+54 (2257) 420 338,Not reported,1994,Not reported,Not reported,,Yes,,,None,Not reported,Not reported,Not reported,Not reported,+54 (2257) 420 338,"Argentina

",104,https://www.facebook.com/UniversidadAtlantidaArgentina/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/universidad_atlantida/,https://www.linkedin.com/school/universidad-atl-ntida-argentina/,Atlántida Argentina University,Atlántida Argentina University,Atlántida Argentina University,,https://www.4icu.org//i/screenshots/44.jpg,Department of Economics | Department of Law and Social Sciences | Department of Humanities | Department of Engineering | Department of Psychology,https://twitter.com/Uatlantida,https://www.4icu.org//i/logos-seals/44.png,Universidad Atlántida Argentina,https://www.4icu.org/reviews/44.htm,https://es.wikipedia.org/wiki/Universidad_Atl%C3%A1ntida_Argentina,8850,https://www.youtube.com/channel/UC_myuRqdnmTqLSCmRLnWXsg
Semesters,Not reported,500-599,UMaza,Acceso Este Lateral Sur Nº 2245 Guaymallén  M5519 Mendoza Argentina,Acceso Este Lateral Sur Nº 2245 Guaymallén M5519 (261) 405 6240 (261) 405 6200,60-70%,Urban,Not reported,Private,Yes,Non-Profit,+54 (261) 405 6209,Not reported,1960,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Yes,"3,000-3,999",Not reported,+54 (261) 405 6200,"Argentina

",56,https://www.facebook.com/umazaoficial/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/somosumaza/,https://www.linkedin.com/school/universidad-juan-agust-n-maza/,Juan Agustín Maza University,Juan Agustín Maza University,Juan Agustín Maza University,,https://www.4icu.org//i/screenshots/39.jpg,"School of Nutritional Sciences | Department of Business | School of Physics, Chemistry and Mathematics | Department of Veterinary Science and Environment | Department of Physical Education | Department of Oenology | Department of Pharmacy and Biochemistry | Department of Engineering | Department of Motor Sciences and Physiotherapy | Department of Journalism | Postgraduate",https://twitter.com/UMazaOficial,https://www.4icu.org//i/logos-seals/39.png,Universidad Juan Agustín Maza,https://www.4icu.org/reviews/39.htm,https://en.wikipedia.org/wiki/Juan_Agust%C3%ADn_Maza_University,4470,https://www.youtube.com/channel/UCCAMiIEAJj9EX5fALAodgsw
Semesters,Not reported,"1,000-1,499",AU,Avenida Juan de Garay 125 Buenos Aires  C1063ABB City of Buenos Aires Argentina,Avenida Juan de Garay 124 Buenos Aires C1063ABB (11) 5921 8000 (11) 5921 8032,40-50%,Urban,Not reported,Private,Yes,Non-Profit,+54 (11) 5921 8013,Not reported,1991,Yes,Not reported,,Yes,,,Christian-Catholic,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"3,000-3,999",Yes,+54 (11) 5921 8000,"Argentina

",20,https://www.facebook.com/UniversidadAustral/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/univaustral/,https://www.linkedin.com/school/universidad-austral-argentina/,Austral University,Austral University,Austral University,Rosario and Pilar,https://www.4icu.org//i/screenshots/45.jpg,"Department of Biomedical Sciences | Department of Business | Department of Business, Rosario | Department of Communication | Department of Law | Department of Engineering | IAE - Management and Business School",https://twitter.com/UnivAustral,https://www.4icu.org//i/logos-seals/45.png,Universidad Austral,https://www.4icu.org/reviews/45.htm,https://en.wikipedia.org/wiki/Universidad_Austral,2209,https://www.youtube.com/channel/UC3fJpcvoE2czhk8PShqZ68w
Semesters,Not reported,300-399,UCAECE,Tte. General Juan Domingo Perón N 2933 Buenos Aires  C1026ABL City of Buenos Aires Argentina,Avenida de Mayo 866 Buenos Aires  (11) 5217 7878,Not available,Urban,Not reported,Private,Yes,Not reported,+54 (11) 4878 7898,Not reported,1967,Not reported,Not reported,,Yes,,,None,"None, open admission policy",Not reported,"3,000-3,999",Not reported,+54 (11) 5217 7888,"Argentina

",62,https://www.facebook.com/ucaece/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/ucaece/,https://www.linkedin.com/company/universidad-caece/,CAECE University,CAECE University,CAECE University,,https://www.4icu.org//i/screenshots/47.jpg,Department of Administration | Department of Biological Sciences | Department of Humanities | Department of Mathematics | Department of Psychology and Educational Sciences | Department of Systems | School of Business Administration | Graduate School,https://twitter.com/UCaece,https://www.4icu.org//i/logos-seals/47.png,Universidad CAECE,https://www.4icu.org/reviews/47.htm,https://es.wikipedia.org/wiki/Universidad_CAECE,5027,https://www.youtube.com/channel/UC5jKp-lexEMLHNxVJsBxgTw
Semesters,Not reported,Not reported,UCASAL,Campo Castañares Salta  A4402FYP Salta Argentina,Campus Universitario Castañares Salta A4400 (387) 426 8866,Not available,Urban,Not reported,Private,Yes,Non-Profit,+54 (387) 426 8590,Not reported,1963,Not reported,Not reported,,Yes,,Nihil Intentatum Nothing untried,Christian-Catholic,"Yes, based on entrance examinations",Yes,"20,000-24,999",Yes,+54 (387) 426 8523,"Argentina

",55,https://www.facebook.com/Ucasal/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/ucasal/,https://www.linkedin.com/school/universidad-cat-lica-de-salta/,Catholic University of Salta,Catholic University of Salta,Catholic University of Salta,Buenos Aires,https://www.4icu.org//i/screenshots/52.jpg,School of Education and Teacher Training | School of Lifelong Learning and Postgraduate programs in Health Sciences | School of Business | School of Physical Education | School of Music | School of Social Work | School of Tourism | Department of Architecture and Urbanism | Department of Arts and Sciences | Department of Agrarian and Veterinary Sciences | Department of Law | Department of Economics and Management | Department of Engineering and Information Technology,https://twitter.com/UcasalOficial,https://www.4icu.org//i/logos-seals/52.png,Universidad Católica de Salta,https://www.4icu.org/reviews/52.htm,https://es.wikipedia.org/wiki/Universidad_Cat%C3%B3lica_de_Salta,4431,https://www.youtube.com/channel/UCNzSpR1azB9JD_lc8uZkb_g
Quarters,Not reported,"4,500-4,999",UAI,Chacabuco 90 Buenos Aires  C1069AAB City of Buenos Aires Argentina,Chacabuco 90 6º piso Buenos Aires C1069 (11) 4342 7788 (11) 4342 7788,70-80%,Urban,Not reported,Private,Yes,Non-Profit,+54 (11) 4342 7654,Not reported,1995,Not reported,Not reported,,Yes,,El futuro sos vos You are the future,None,"Yes, based on entrance examinations",Yes,"20,000-24,999",Yes,+54 (11) 4342 7788,"Argentina

",37,https://www.facebook.com/uai.univ/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/uai_univ/,https://www.linkedin.com/school/universidad-abierta-interamericana_2/,Interamerican Open University,Interamerican Open University,Interamerican Open University,Rosario and San Nicolás,https://www.4icu.org//i/screenshots/40.jpg,"Department of Health Sciences | Department of Economics and Administration | Department of Humanities, Education and Social Sciences | Department of Theology | Department of Information Technology | Adventista del Plata Institute",https://twitter.com/UAI_Univ,https://www.4icu.org//i/logos-seals/40.png,Universidad Abierta Interamericana,https://www.4icu.org/reviews/40.htm,https://en.wikipedia.org/wiki/Interamerican_Open_University,3329,https://www.youtube.com/channel/UCLrn-m0tjG2Gb2zK_K66ErA
Semesters,Not reported,200-299,UCC,Obispo Trejo 323 Córdoba  C5000IYG Cordoba Argentina,Obispo Trejo 323 Córdoba X5000IYG (351) 421 9000,Not available,Suburban,Not reported,Private,Not reported,Non-Profit,+54 (351) 493 8002,Not reported,1956,Not reported,Not reported,,Yes,,Veritas Liberabit Vos The Truth Shall Set You Free (John 8:32),Christian-Catholic,"Yes, based on students' past academic record and grades",Yes,"10,000-14,999",Yes,+54 (351) 421 9000,"Argentina

",41,https://www.facebook.com/UniversidadCatolicaCordoba/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/uccoficial/,https://www.linkedin.com/school/universidad-cat-lica-de-c-rdoba/,Catholic University of Córdoba,Catholic University of Córdoba,Catholic University of Córdoba,Villa María and Río Cuarto,https://www.4icu.org//i/screenshots/50.jpg,Department of Architecture | Department of Political Science and International Relations | Department of Agricultural Sciences | Department of Economics and Administration | Department of Chemical Sciences | Department of Law and Social Sciences | Department of Education | Department of Philosophy and Humanities | Department of Engineering | Department of Medicine,https://twitter.com/UCCoficial,https://www.4icu.org//i/logos-seals/50.png,Universidad Católica de Córdoba,https://www.4icu.org/reviews/50.htm,https://en.wikipedia.org/wiki/Catholic_University_of_C%C3%B3rdoba,3435,https://www.youtube.com/channel/UCg3cB0pSaSCx5xYJThpBXOA
Continuous,Not reported,Not reported,UCALP,Avenida 13 N 1227 La Plata  B1925XAC Buenos Aires Argentina,,Not reported,Not reported,Not reported,Private,Not reported,Not reported,+54 (221) 423 2804,Not reported,1964,Not reported,Not reported,,Yes,,,Christian-Catholic,Not reported,Yes,Not reported,Not reported,+54 (221) 422 7100,"Argentina

",67,https://www.facebook.com/ucalp/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/ucalp/,https://www.linkedin.com/school/universidad-cat-lica-de-la-plata/,Catholic University of La Plata,Catholic University of La Plata,Catholic University of La Plata,,https://www.4icu.org//i/screenshots/51.jpg,Department of Architecture | Department of Health Sciences | Department of Economics | Department of Exact Sciences and Technology | Department of Political and Social Sciences | Department of Law | Department of Humanities | Department of Dentistry,https://twitter.com/ucalp,https://www.4icu.org//i/logos-seals/51.png,Universidad Católica de La Plata,https://www.4icu.org/reviews/51.htm,https://es.wikipedia.org/wiki/Universidad_Cat%C3%B3lica_de_La_Plata,5457,https://www.youtube.com/channel/UCObImgqxEm3_xkm1umyKP1g
Quarters,Yes,900-999,UCSF,Echagüe 7151 Santa Fe  S3004JBS Santa Fe Argentina,Echagüe 7151 Santa Fe S3004JBS (342) 460 3030 0800 888 8273,Not available,Urban,Yes,Private,Yes,Not reported,+54 (342) 460 3030,Yes,1957,Not reported,Not reported,,Yes,,In omnem veritatem Into all truth,Christian-Catholic,"None, open admission policy",Yes,"7,000-7,999",Yes,+54 (342) 460 3030,"Argentina

",79,https://www.facebook.com/ucsfoficial/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/ucsfoficial/,https://www.linkedin.com/school/universidad-cat-lica-de-santa-fe/,Catholic University of Santa Fe,Catholic University of Santa Fe,Catholic University of Santa Fe,"Rosario, Reconquista, Rafaela, Posadas, Gualeguaychú, Concordia",https://www.4icu.org//i/screenshots/53.jpg,Department of Postgraduate Studies | Department of Philosophy and Teology | Pastoral Department | Department of Architecture | Department of Agricultural Sciences | Department of Health Sciences | Department of Economics | Department of Law and Politic Science | Department of Philosophy and Humanities | Department of Psychology,https://twitter.com/UCSFoficial,https://www.4icu.org//i/logos-seals/53.png,Universidad Católica de Santa Fe,https://www.4icu.org/reviews/53.htm,https://es.wikipedia.org/wiki/Universidad_Cat%C3%B3lica_de_Santa_Fe,6458,https://www.youtube.com/channel/UCBzOgO59xLpOjcXIA75DIPA
Not reported,Not reported,Not reported,UCH,Belgrano 721 Godoy Cruz  M5501APO Mendoza Argentina,,Not reported,Not reported,Not reported,Private,Not reported,Not reported,+54 (261) 424 2253,Not reported,1991 Origins date back to 1971,Not reported,Not reported,,Yes,,,None,Not reported,Not reported,Not reported,Not reported,+54 (261) 424 8443,"Argentina

",49,https://www.facebook.com/uch.argentina/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/uchampagnat/,https://www.linkedin.com/school/universidad-champagnat/,Champagnat University,Champagnat University,Champagnat University,,https://www.4icu.org//i/screenshots/55.jpg,Department of Economics | Department of Social Sciences | Department of Law | Department of Ecology | Department of Information Technology,https://twitter.com/uchampagnat,https://www.4icu.org//i/logos-seals/55.png,Universidad Champagnat,https://www.4icu.org/reviews/55.htm,/about/err.htm,3953,https://www.youtube.com/channel/UCF2Ux8NLsJnY8RpSFn3hjqw
Semesters,Not reported,900-999,UES21,"Ituzangó 484, Nueva Córdoba; Monseñor Pablo Cabrera Km. 8 1/2 Córdoba  X5000IJJ Cordoba Argentina","Ituzaingó 484, Nueva Córdoba Córdoba X5000 (351) 420 4099",Not reported,Urban,Not reported,Private,Yes,Non-Profit,+54 (351) 425 1221,Yes,1995,Not reported,Not reported,,Yes,,Formando Líderes Creating Leaders,None,"Yes, based on entrance examinations",Yes,"15,000-19,999",Yes,+54 (351) 420 4003,"Argentina

",24,https://www.facebook.com/lasiglo21/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/lasiglo21/,https://www.linkedin.com/school/lasiglo21/,Siglo 21 Business University,Siglo 21 Business University,Siglo 21 Business University,,https://www.4icu.org//i/screenshots/56.jpg,Department of Business | Department of Communication and Design | Department of Economic Sciences | Department of Social Sciences and Psychology | Department of Law and political Science | Department of Computing and informatics,https://twitter.com/LaSiglo21,https://www.4icu.org//i/logos-seals/56.png,Universidad Empresarial Siglo 21,https://www.4icu.org/reviews/56.htm,/about/err.htm,2505,https://www.youtube.com/channel/UCt5mNRHIWe6aSp4RFQeqx2A
Continuous,Not reported,"1,500-1,999",UNCA,Esquiú 612 San Fernando del Valle de Catamarca  K4700 Catamarca Argentina,Avenida Belgrano 300 San Fernando del Valle K4700 (3833) 43 5639,20-30%,Urban,Not reported,Public,Not reported,Non-Profit,+54 (3833) 435 627,Not reported,1972,Yes,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Yes,"15,000-19,999",Yes,+54 (3833) 424 099,"Argentina

",58,https://www.facebook.com/UNCaWeb/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/uncaoficial/,https://www.linkedin.com/school/universidad-nacional-de-catamarca/,National University of Catamarca,National University of Catamarca,National University of Catamarca,Santa María and Andalgalá,https://www.4icu.org//i/screenshots/58.jpg,School of Archaeology | Department of Agricultural Sciences | Department of Health Sciences | Department of Economic Sciences | Department of Exact Sciences | Department of Law | Department of Humanities | Department of Technology and Applied Sciences,https://twitter.com/uncaoficial,https://www.4icu.org//i/logos-seals/58.png,Universidad Nacional de Catamarca,https://www.4icu.org/reviews/58.htm,https://en.wikipedia.org/wiki/National_University_of_Catamarca,4551,https://www.youtube.com/channel/UCytzYmegAHZaoV9CJbnCcxg
Semesters,Not reported,Not reported,UNCUYO,Centro Universitario Parque Gral. San Martín Mendoza  M5500 Mendoza Argentina,,Not reported,Not reported,Not reported,Public,Not reported,Non-Profit,+54 (261) 449 4130,Not reported,1939,Not reported,Not reported,,Yes,,In spiritus remigio vita Life is in the wingbeat of the spirit,None,"Yes, based on entrance examinations",Not reported,"35,000-39,999",Not reported,+54 (261) 413 5000,"Argentina

",6,https://www.facebook.com/UNCuyo/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/uncuyo/,https://www.linkedin.com/school/universidad-nacional-de-cuyo/,National University of Cuyo,National University of Cuyo,National University of Cuyo,,https://www.4icu.org//i/screenshots/59.jpg,Department of Arts and Design | Department of Agricultural Sciences | Department of Applied Science to Industry | Department of Economics | Department of Medical Sciences | Department of Political and Social Sciences | Department of Law | Department of Elementary and Special Education | Department of Philosophy and Letters | Department of Engineering | Department of Dentistry | Balseiro Institute | University Technological Institute,https://twitter.com/uncuyo,https://www.4icu.org//i/logos-seals/59.png,Universidad Nacional de Cuyo,https://www.4icu.org/reviews/59.htm,https://en.wikipedia.org/wiki/National_University_of_Cuyo,1164,https://www.youtube.com/channel/UCnzZV3XvFKJNQMsG4pvaarw
