Academic_Calendar,Academic_Counseling,Academic_Staff,Acronym,Address,Admission_Office,Admission_Rate,Campus_Setting,Career_Services,Control_Type,Distance_Learning,Entity_Type,Fax,Financial_Aids,Founded,Housing,Institutional_Hospital,International_students,Library,Local_students,Motto,Religious_Affiliation,Selection_Type,Sport_Facilities,Student_Enrollment,Study_Abroad,Tel,country_name,country_rank,flag_img,name,name_t,name_t_t,other_locations,screenshort,subject,uni_logo,university_name,url,wiki,world_rank
Semesters,Not reported,Not reported,,Rruga Rinia Elbasan  3000 Elbasan Albania,,Not reported,Not reported,Not reported,Public,Not reported,Non-Profit,+355 (54) 52 593,Not reported,1991 Origins date back to 1971,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Yes,Not reported,Yes,+355 (54) 52 593,"Albania

",12,https://www.4icu.org//i/flags/Albania.png,Aleksander Xhuvani University of Elbasan,Aleksander Xhuvani University of Elbasan,Aleksander Xhuvani University of Elbasan,,https://www.4icu.org//i/screenshots/2.jpg,Department of Economics | Department of Educational Sciences | Department of Human Sciences | Department of Natural Sciences | Department of Technical Medicine Sciences,https://www.4icu.org//i/logos-seals/2.png,Universiteti i Elbasanit Aleksander Xhuvani,https://www.4icu.org/reviews/2.htm,https://en.wikipedia.org/wiki/University_of_Elbasan,9232
Semesters,Not reported,"over-5,000",UMBB,Avenue de l'Independance Boumerdès  35000 Boumerdes Algeria,Avenue de l'Independence Boumerdes 35000 (24) 811 589,Not available,Urban,Not reported,Public,Not reported,Non-Profit,+213 (24) 816 373,Not reported,1998,Not reported,Not reported,,Yes,,,Islamic,"Yes, based on students' past academic record and grades",Yes,"15,000-19,999",Yes,+213 (24) 816 901,"Algeria

",19,https://www.4icu.org//i/flags/Algeria.png,University of Boumerdés,University of Boumerdés,University of Boumerdés,,https://www.4icu.org//i/screenshots/10.jpg,"Department of Economics, Management and Commercial Sciences | Department of Engineering | Department of Hydrocarbons and Chemistry | Department of Law | Department of Science | Institute of Electrical Engineering and Electronics",https://www.4icu.org//i/logos-seals/10.png,Université M'hamed Bouguerra de Boumerdès,https://www.4icu.org/reviews/10.htm,/about/err.htm,5284
Semesters,Not reported,Not reported,,"2, Rue Didouche Mourad Algiers  16000 Algiers Algeria",,Not reported,Not reported,Not reported,Public,Not reported,Non-Profit,+213 (21) 915 427,Not reported,1909,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Not reported,"over-45,000",Not reported,+213 (21) 543 227,"Algeria

",14,https://www.4icu.org//i/flags/Algeria.png,University of Algiers 1,University of Algiers 1,University of Algiers 1,,https://www.4icu.org//i/screenshots/11.jpg,Department of Political Sciences and Information | Department of Human and Social Sciences | Department of Economics and Management Sciences | Department of Letters and Languages | Department of Law | Department of Medicine | Department of Islamic Sciences,https://www.4icu.org//i/logos-seals/11.png,Université Benyoucef Benkhedda d'Alger 1,https://www.4icu.org/reviews/11.htm,https://en.wikipedia.org/wiki/University_of_Algiers,4659
Semesters,Not reported,Not reported,USIEA,"Boîte Postale 137, Emir Abdelkader Constantine  25000 Constantine Algeria",,Not reported,Not reported,Not reported,Public,Not reported,Non-Profit,+213 (31) 925 371,Not reported,1984,Not reported,Not reported,,Yes,,,Islamic,Not reported,Not reported,Not reported,Not reported,+213 (31) 922 694,"Algeria

",56,https://www.4icu.org//i/flags/Algeria.png,Emir Abdelkader University of Islamic Sciences,Emir Abdelkader University of Islamic Sciences,Emir Abdelkader University of Islamic Sciences,,https://www.4icu.org//i/screenshots/7.jpg,"Department of Arts and Humanities | Department of Oussoul Eddine, Sharia and Islamic Civilization",https://www.4icu.org//i/logos-seals/7.png,Université des Sciences Islamiques Emir Abdelkader,https://www.4icu.org/reviews/7.htm,https://en.wikipedia.org/wiki/Emir_Abdelkader_University,9026
Continuous,Not reported,800-899,UL,Route de Ghardaia; Boîte Postale G37 Laghouat  03000 Laghouat Algeria,"Route de Ghardaia, BP G37 Laghouat 03000 (29) 932 696",Not available,Urban,Not reported,Public,Not reported,Non-Profit,+213 (29) 932 698,Not reported,1986,Not reported,Not reported,,Yes,,,Islamic,"Yes, based on entrance examinations",Yes,"10,000-14,999",Yes,+213 (29) 931 791,"Algeria

",40,https://www.4icu.org//i/flags/Algeria.png,University of Laghouat,University of Laghouat,University of Laghouat,,https://www.4icu.org//i/screenshots/9.jpg,Department of Economics and Management Sciences | Department of Engineering Sciences | Department of Judicial Sciences and Humanities,https://www.4icu.org//i/logos-seals/9.png,Université Amar Telidji de Laghouat,https://www.4icu.org/reviews/9.htm,https://en.wikipedia.org/wiki/University_of_Laghouat,7548
Semesters,Not reported,"1,000-1,499",UT,Sheshi Nënë Tereza Tirana  1001 Tirana Albania,Sheshi Nene Tereza Tirana 1001 (4) 222 8402,20-30%,Urban,Not reported,Public,Not reported,Non-Profit,+355 (4) 222 3981,Not reported,1957 Established in 1957 through a merger of five existing Institutes of higher-education,Yes,Not reported,,Yes,,Drejt së Ardhmes Looking towards the future,None,"Yes, based on entrance examinations",Yes,"25,000-29,999",Yes,+355 (4) 222 840,"Albania

",1,https://www.4icu.org//i/flags/Albania.png,University of Tirana,University of Tirana,University of Tirana,Saranda,https://www.4icu.org//i/screenshots/3.jpg,Department of Medicine | Department of Social Sciences | Department of Natural Sciences | Department of History and Philology | Department of Law | Department of Economic Sciences | Department of Foreign Languages | Institute of European Studies,https://www.4icu.org//i/logos-seals/3.png,Universiteti i Tiranës,https://www.4icu.org/reviews/3.htm,https://en.wikipedia.org/wiki/University_of_Tirana,6641
Not reported,Not reported,Not reported,UIK,"Boîte Postale 78, Zaâroura Tiaret  14000 Tiaret Algeria",,Not reported,Not reported,Not reported,Public,Not reported,Non-Profit,+213 (46) 422 608,Not reported,1980,Not reported,Not reported,,Yes,,,None,Not reported,Yes,Not reported,Yes,+213 (46) 425 688,"Algeria

",31,https://www.4icu.org//i/flags/Algeria.png,University of Tiaret,University of Tiaret,University of Tiaret,,https://www.4icu.org//i/screenshots/6.jpg,Department of Agriculture and Veterinary Sciences | Department of Humanities and Social Sciences | Department of Sciences and Engineering Sciences,https://www.4icu.org//i/logos-seals/6.png,Université Ibn Khaldoun de Tiaret,https://www.4icu.org/reviews/6.htm,/about/err.htm,6554
Semesters,Not reported,"1,500-1,999",UABT,22 Rue Abi Ayad Abdelkrim Tlemcen  13000 Tlemcen Algeria,,Not reported,Not reported,Not reported,Public,Yes,Non-Profit,+213 (43) 204 189,Not reported,1974,Yes,Not reported,,Yes,,,None,Not reported,Yes,"40,000-44,999",Yes,+213 (43) 202 000,"Algeria

",4,https://www.4icu.org//i/flags/Algeria.png,University of Tlemcen,University of Tlemcen,University of Tlemcen,,https://www.4icu.org//i/screenshots/8.jpg,"Department of Arts, Humanities and Social Sciences | Department of Economic and Management Sciences | Department of Engineering Sciences | Department of Law | Department of Medicine | Department of Sciences",https://www.4icu.org//i/logos-seals/8.png,Université Abou Bekr Belkaid de Tlemcen,https://www.4icu.org/reviews/8.htm,https://en.wikipedia.org/wiki/University_of_Abou_Bekr_Belka%C3%Afd,3377
Not reported,Not reported,Not reported,,"Boîte Postale 98, Ouled Aissa Jijel  18000 Jijel Algeria",,Not reported,Not reported,Not reported,Public,Not reported,Non-Profit,+213 (34) 501 865,Not reported,1998,Not reported,Not reported,,Yes,,,None,Not reported,Not reported,Not reported,Not reported,+213 (34) 501 400,"Algeria

",15,https://www.4icu.org//i/flags/Algeria.png,University of Jijel,University of Jijel,University of Jijel,,https://www.4icu.org//i/screenshots/5.jpg,Department of Engineering | Department of Law | Department of Management | Department of Science,https://www.4icu.org//i/logos-seals/5.png,Université Mohamed Seddik Ben Yahia de Jijel,https://www.4icu.org/reviews/5.htm,https://en.wikipedia.org/wiki/University_of_Jijel,4791
Semesters,Not reported,Not reported,UBMA,"Boîte Postale 12, Sidi Ammar Annaba  23200 Annaba Algeria",,Not reported,Not reported,Not reported,Public,Not reported,Non-Profit,+213 (38) 872 436,Not reported,1975,Not reported,Not reported,,Yes,,,None,Not reported,Yes,"over-45,000",Not reported,+213 (38) 872 678,"Algeria

",17,https://www.4icu.org//i/flags/Algeria.png,University of Annaba,University of Annaba,University of Annaba,,https://www.4icu.org//i/screenshots/12.jpg,Department of Earth Sciences | Department of Economics and Management Sciences | Department of Engineering Sciences | Department of Humanities and Social Sciences | Department of Law | Department of Medicine | Department of Sciences,https://www.4icu.org//i/logos-seals/12.png,Université Badji Mokhtar de Annaba,https://www.4icu.org/reviews/12.htm,https://en.wikipedia.org/wiki/University_of_Annaba,4990
